protein1,protein2,label
O75164,Q16695,Positive
Q9H211,Q99741,Positive
Q9H211,O75496,Positive
Q9H211,O14777,Positive
Q9H211,P12004,Positive
Q9H213,Q6NT76,Positive
Q9H213,Q15025,Positive
Q9H213,Q8WV44,Positive
Q9H213,O15535,Positive
Q9H213,P20807,Negative
Q96G23,P07306,Positive
Q96G23,P07307,Positive
Q96G23,P27449,Positive
Q96G23,P07900,Positive
Q96G23,O15245,Positive
Q96G23,P62310,Negative
Q96G23,P10301,Negative
Q96G23,Q8N9Q2,Negative
Q7L3V2,Q16611,Positive
Q7L3V2,Q07812,Positive
Q7L3V2,Q92843,Positive
Q7L3V2,Q07820,Positive
Q7L3V2,P21796,Positive
Q7L3V2,P53779,Negative
Q96G21,O15156,Positive
Q96G21,Q92482,Negative
Q96G21,P14151,Negative
Q8N1A6,Q15645,Positive
Q8N1A6,Q08AM6,Positive
Q8N1A6,Q9H255,Negative
Q8N1A6,Q9UDY4,Negative
Q8N1A6,P20382,Negative
Q96G27,Q9NZC7,Positive
Q96G27,P46937,Positive
Q96G27,P53618,Negative
Q96G27,P0DI83,Negative
Q96G27,Q9H490,Negative
Q96G27,P21781,Negative
Q96G25,Q15370,Positive
Q96G25,Q15369,Positive
Q96G25,Q6A162,Positive
Q96G25,Q8ND90,Positive
Q96G25,P41159,Negative
Q96G25,A0A0J9YX35,Negative
Q96G25,Q9H9Q4,Negative
Q96G25,B7Z6K7,Negative
Q9UK32,A0AVI4,Negative
Q9UK32,P54108,Negative
Q9BWU1,A6NF89,Negative
Q13232,Q6ICB0,Positive
Q13232,P15531,Positive
Q13232,O43765,Positive
Q13232,Q9UMX0,Positive
Q13232,Q9UNK4,Negative
Q13232,A6NGY5,Negative
Q13232,P55786,Negative
Q13232,E7ERA6,Negative
Q01415,Q9UM11,Negative
Q01415,P25100,Negative
O60384,Q9BXJ9,Negative
O60384,O00757,Negative
O60384,Q9BZD3,Negative
Q13231,Q6YI46,Negative
O60383,P0C2S0,Negative
O60381,Q8NFF2,Negative
Q8HWS3,Q08117,Positive
Q8HWS3,O75716,Positive
O43242,Q9C0F1,Positive
O43242,O43395,Positive
O43242,P60896,Positive
O43242,O43298,Positive
O43242,Q9NV79,Negative
O43242,P01215,Negative
O43242,Q4QY38,Negative
Q9NXR1,Q70YC5,Positive
Q9NXR1,Q9Y224,Negative
Q96AH0,Q5VWX1,Positive
Q96AH0,Q13064,Positive
Q96AH0,Q96PU8,Positive
Q96AH0,P38159,Positive
Q96AH0,Q12800,Positive
Q96AH0,A6NMA1,Negative
Q15762,Q92692,Positive
Q15762,Q495A1,Positive
Q15762,Q6P2C0,Negative
Q15762,P51681,Negative
P10914,P63165,Positive
P10914,Q9NWT6,Negative
P10914,P52272,Negative
P10914,P0C870,Negative
P10914,Q7Z6L0,Negative
Q15760,Q5RI15,Negative
P10916,Q99972,Positive
P10916,Q9NZ42,Negative
P10911,P15531,Positive
P10911,P43080,Negative
P10911,Q9Y2Y0,Negative
Q6UW02,P26368,Negative
Q6UW01,Q9BUB5,Negative
P10912,Q16829,Positive
P10912,P01241,Positive
P10912,P16333,Positive
P10912,P18031,Positive
P10912,P17706,Positive
P10912,P43378,Positive
P10912,Q9NW64,Negative
Q8N720,Q9BXS5,Positive
Q8N720,Q9H257,Positive
Q8N720,P11802,Positive
Q8N720,Q6A162,Positive
Q8N720,Q13503,Positive
Q8N720,Q8NA61,Positive
Q8N720,Q12933,Positive
O75604,Q8IYA8,Positive
O75604,Q8WTU0,Positive
O75604,Q9NSC5,Positive
O75604,P19012,Positive
O75604,Q6A162,Positive
O75604,Q969G2,Positive
O75604,Q00987,Positive
O75604,Q9GZM8,Positive
O75604,Q8ND90,Positive
O75604,Q12933,Positive
O75604,Q9Y4K3,Positive
O75604,P14373,Positive
O75604,Q86XT4,Positive
O75604,Q9NQR1,Negative
Q5TFG8,Q9NZN4,Negative
Q5TFG8,Q5T7P3,Negative
P59910,Q9NRD5,Positive
P59910,Q8IV76,Negative
P59910,Q99755,Negative
Q8WUF5,P62136,Positive
Q8WUF5,P62140,Positive
Q8WUF5,P62826,Positive
Q8WUF5,P04637,Positive
Q8WUF5,Q70IA6,Negative
Q96BT3,Q9BWF3,Negative
O95522,Q9NYP3,Negative
O95522,O75346,Negative
O95522,Q96QH2,Negative
Q96BT7,Q9UI30,Positive
Q96BT7,Q8N141,Negative
Q96BT7,P78348,Negative
Q96BT7,Q16585,Negative
Q02297,Q8NDY8,Negative
Q02297,Q8WZ73,Negative
Q02297,Q96HJ9,Negative
Q02297,Q93097,Negative
Q9UHC7,P38936,Positive
Q9UHC7,Q9UER7,Positive
Q9UHC7,P04637,Positive
P48147,P04406,Positive
P48147,O75556,Negative
P48147,Q86Y07,Negative
P48147,P01303,Negative
P48146,Q8N9W6,Positive
P48146,Q15323,Positive
P48146,Q6A162,Positive
P48146,P60409,Positive
P48146,P60411,Positive
P48146,P26371,Positive
P48146,Q3LI66,Positive
P48146,Q7Z3S9,Positive
P48146,Q8ND90,Positive
P48146,P25788,Positive
P48146,Q96LT4,Negative
Q6KB66,P19012,Positive
Q6KB66,P08727,Positive
Q6KB66,P35900,Positive
Q6KB66,P50222,Positive
Q6KB66,O60701,Negative
Q6KB66,Q96GK7,Negative
Q99519,Q07000,Negative
Q99519,Q96KJ4,Negative
Q99519,Q969E1,Negative
Q99519,O60478,Negative
Q99518,Q8N239,Negative
P43361,Q5H9J7,Positive
P43361,P28676,Positive
P43361,P25791,Positive
P43361,Q9BS40,Positive
P43361,O15481,Positive
P43361,P40692,Positive
P43361,Q8N7K0,Negative
P43361,Q96DB9,Negative
P43361,Q9Y2W3,Negative
Q6PL24,Q99525,Positive
Q6PL24,Q9UNK0,Positive
Q6PL24,A2RU14,Positive
Q6PL24,P59768,Negative
Q6PL24,O43482,Negative
Q6PL24,Q9UKI8,Negative
Q6PL24,P18146,Negative
Q96RU3,P48023,Positive
Q96RU3,O95166,Positive
Q96RU3,O60749,Positive
Q96RU3,Q8N884,Negative
Q96RU3,Q96RI1,Negative
Q4VC39,Q9HAP2,Negative
Q4VC39,O14681,Negative
Q4VC39,Q6TGC4,Negative
Q9NR31,P35504,Negative
Q96RU8,Q8N2I9,Positive
Q96RU8,Q10713,Negative
Q96RU8,Q8IX29,Negative
Q96RU8,Q5TH74,Negative
Q96DR5,Q6RW13,Positive
Q96DR5,Q8WTU2,Negative
A4D1P6,Q9NPC3,Negative
Q96DR7,A6NCQ9,Negative
Q96L58,Q9NP84,Negative
Q96L58,Q7L4P6,Negative
P35789,P14927,Negative
P50395,P20338,Positive
P50395,O95299,Negative
P50395,Q14532,Negative
Q96A84,Q5VWX1,Negative
Q96A84,P19099,Negative
Q96A84,O43837,Negative
Q96A84,Q8WZ71,Negative
Q96A84,Q7Z569,Negative
Q96A83,Q86X45,Negative
Q96A83,A6NMD2,Negative
Q96A83,Q9H477,Negative
Q96A83,Q96MC5,Negative
Q96L50,Q9UL42,Positive
Q96L50,Q15645,Positive
P50391,P20160,Negative
P50391,Q75WM6,Negative
P50391,Q86U38,Negative
Q9Y5A7,Q9NZN9,Positive
Q9Y5A7,Q15427,Positive
Q9Y5A7,P54274,Positive
Q9Y5A6,Q6A162,Positive
Q9Y5A6,P60370,Positive
Q9Y5A6,P60410,Positive
Q9Y5A6,P60411,Positive
Q9Y5A6,Q8WV44,Positive
Q9Y5A6,Q9P0L1,Positive
Q9Y5A6,P17028,Positive
Q9Y5A6,Q96IT1,Positive
Q9Y5A6,P10073,Positive
I1YAP6,O14994,Negative
Q8NDW4,P0DMV0,Negative
P00558,P04406,Positive
P00558,O15379,Positive
P00558,P30273,Negative
Q13643,Q9NQ94,Positive
Q13643,Q13444,Positive
Q13643,Q13155,Positive
Q13643,P02760,Positive
Q13643,Q9UMQ3,Positive
Q13643,Q9NVL8,Positive
Q13643,Q5BN46,Positive
Q13643,Q8IYA8,Positive
Q13643,Q8NE01,Positive
Q13643,P09603,Positive
Q13643,A2VCK2,Positive
Q13643,Q9NQL9,Positive
Q13643,A0AVK6,Positive
Q13643,Q6NXP0,Positive
Q13643,Q7L775,Positive
Q13643,Q9BQ89,Positive
Q13643,Q8NEG0,Positive
Q13643,Q86YD7,Positive
Q13643,P15408,Positive
Q13643,Q96NZ1,Positive
Q13643,P23769,Positive
Q13643,O75603,Positive
Q13643,O75031,Positive
Q13643,Q12891,Positive
Q13643,Q9UKT9,Positive
Q13643,Q63ZY3,Positive
Q13643,Q6UWL6,Positive
Q13643,P57682,Positive
Q13643,Q5T749,Positive
Q13643,P59990,Positive
Q13643,P59991,Positive
Q13643,Q96EK9,Positive
Q13643,P25791,Positive
Q13643,Q8N448,Positive
Q13643,Q9HC36,Positive
Q13643,Q9P0M9,Positive
Q13643,A2RUH7,Positive
Q13643,Q86TB9,Positive
Q13643,Q96BD5,Positive
Q13643,P29350,Positive
Q13643,Q2TAL8,Positive
Q13643,O60216,Positive
Q13643,P48380,Positive
Q13643,Q8TAI7,Positive
Q13643,Q9UHP6,Positive
Q13643,Q9UHR5,Positive
Q13643,Q8IYX7,Positive
Q13643,O00560,Positive
Q13643,Q8ND83,Positive
Q13643,Q96AG3,Positive
Q13643,Q8N4M1,Positive
Q13643,P62308,Positive
Q13643,Q9NU19,Positive
Q13643,Q96JJ7,Positive
Q13643,Q6ZVT0,Positive
Q13643,Q8TAI1,Positive
Q13643,B2RUY7,Positive
Q13643,Q8WYQ9,Positive
Q13643,Q8TAU3,Positive
Q13643,Q96KM6,Positive
Q13643,Q9HDB5,Negative
Q13643,Q5T1Q4,Negative
Q13643,Q9ULF5,Negative
Q13643,Q8N6H7,Negative
Q13642,P62714,Positive
Q13642,P39748,Negative
Q13641,Q9UJY4,Negative
Q13641,Q6ZNE5,Negative
Q13641,O75881,Negative
P40305,Q6Q0C1,Negative
P40305,D6RF30,Negative
P40305,E9PQR5,Negative
P40306,O95273,Positive
P40306,O43186,Positive
P40306,P50222,Positive
Q9HCE1,P14649,Negative
Q6XQN6,Q96HH9,Positive
Q6XQN6,Q6A162,Positive
Q6XQN6,Q93062,Positive
Q6XQN6,Q8NFL0,Negative
Q6XQN6,Q9Y394,Negative
Q8N6K7,Q8IYR0,Positive
Q8N6K7,P10809,Positive
Q8N6K7,Q8TAP4,Positive
Q8N6K7,Q14410,Negative
A8MTA8,Q9Y285,Negative
A8MTA8,P33240,Negative
A8MTA8,Q9NPA3,Negative
A8MTA8,P35270,Negative
A8MTA8,Q14190,Negative
O75569,Q9UKV8,Positive
O75569,O95786,Positive
O75569,P19525,Positive
O75569,Q9NX58,Positive
O75569,O15226,Positive
O75569,Q15633,Positive
O75569,Q9HA38,Positive
O75569,Q96KX2,Negative
O75569,P01589,Negative
O75569,P01825,Negative
O75569,O15520,Negative
A6NH00,O95292,Negative
A6NH00,O00479,Negative
Q8NH02,P11926,Negative
Q8NH02,Q9NYJ7,Negative
Q8NH02,Q14103,Negative
Q9BXJ8,Q9NY99,Negative
Q9BXJ8,Q14773,Negative
O60806,P78337,Positive
O60806,Q92734,Positive
P21673,Q9UFG5,Positive
P21673,P55210,Positive
P21673,Q8NFR7,Positive
P21673,O00148,Positive
P21673,Q9NQL9,Positive
P21673,O15371,Positive
P21673,Q8NDB6,Positive
P21673,Q5VUD6,Positive
P21673,Q8NHY3,Positive
P21673,P17482,Positive
P21673,P22459,Positive
P21673,Q8TBB1,Positive
P21673,Q13330,Positive
P21673,Q9GZT8,Positive
P21673,Q96I25,Positive
P21673,Q04864,Positive
P21673,Q9BUL9,Positive
P21673,Q96F10,Positive
P21673,O43623,Positive
P21673,Q9BSH4,Positive
P21673,Q9BQ70,Positive
Q8NG77,Q9BUU2,Negative
Q8NG77,Q96J77,Negative
Q8NG77,Q9H2W2,Negative
Q8NG77,Q8N5W8,Negative
Q8NG77,Q8N6D5,Negative
Q8NGF6,A0A087WTH1,Negative
Q8NGF6,Q9NRA0,Negative
Q8NGF6,Q8IZ41,Negative
Q96CN9,P18848,Positive
Q96CN9,Q9NPJ6,Positive
Q96CN9,O43482,Positive
Q8NH00,Q96LD1,Negative
Q8NH00,Q99536,Negative
Q8NH00,O60496,Negative
Q8NH00,K7EIQ3,Negative
Q8NH00,Q7RTT9,Negative
P06239,P20749,Positive
P06239,P01730,Positive
P06239,Q5VV42,Positive
P06239,Q13480,Positive
P06239,P08238,Positive
P06239,Q07666,Positive
P06239,O43561,Positive
P06239,Q9BRK4,Positive
P06239,Q9H204,Positive
P06239,Q04759,Positive
P06239,P29350,Positive
P06239,Q9NP31,Positive
P06239,P43405,Positive
P06239,P0CG48,Positive
P06239,P43403,Positive
P06239,Q8WUZ0,Negative
P06239,P15153,Negative
Q6ZRV3,A0A087WVF3,Negative
Q6ZRV3,Q9BSG1,Negative
P29622,Q9Y2S2,Negative
P29622,P03901,Negative
P29622,Q86XE5,Negative
Q96KM6,Q13643,Positive
Q96KM6,Q8IUQ4,Positive
Q7L985,Q9Y5P8,Negative
Q7L985,Q701N2,Negative
Q7L985,Q6P4I2,Negative
Q96CN7,Q9P1Z2,Positive
Q96CN7,P62913,Negative
Q96CN7,Q5CZ79,Negative
Q96CN5,Q9BQD3,Positive
Q96CN5,Q9H7X3,Negative
Q96CN5,A2RUQ5,Negative
Q96CN5,P41219,Negative
Q96CN4,Q6ZVK8,Positive
Q96CN4,P00387,Negative
Q96CN4,Q2M296,Negative
Q9BXJ4,P52758,Negative
Q5RKV6,Q15843,Negative
Q5RKV6,Q13976,Negative
Q5RKV6,Q9BY79,Negative
A6NLE4,Q9UBM4,Negative
A6NLE4,Q9Y606,Negative
A6NLE4,P43652,Negative
A6NLE4,Q9UBW5,Negative
A6NLE4,Q2MKA7,Negative
Q8NGF7,P31350,Negative
Q8NGF7,Q96AP4,Negative
Q8NGF7,Q9HCC0,Negative
P33552,Q5T752,Negative
P33552,Q9NX00,Negative
P10644,Q9GZX7,Positive
P10644,Q9BSF0,Positive
P10644,Q9H0R8,Positive
P10644,Q9H8W4,Positive
P10644,P17612,Positive
P10644,P51817,Positive
P10644,P35250,Positive
P10644,Q01105,Positive
P10644,P0DO92,Positive
Q16236,Q14145,Positive
Q16236,O15525,Positive
Q16236,O60675,Positive
Q16236,P10276,Positive
Q16236,P13805,Positive
Q16236,P17032,Negative
Q16236,Q9BWL3,Negative
Q16236,Q96J77,Negative
Q16236,Q9H871,Negative
Q16236,Q8TAI1,Negative
Q9H6R0,Q02575,Negative
Q9H6R0,Q9BUL9,Negative
Q9H6R0,P25101,Negative
P48551,Q00978,Positive
P48551,P63244,Positive
P48551,Q9UMW8,Positive
P48551,O96006,Negative
P48551,Q86WT6,Negative
P48551,P48065,Negative
P48551,Q96BR5,Negative
P10643,P30990,Negative
P10643,Q8WW59,Negative
Q9H6R3,O43763,Negative
Q9H6R3,Q9Y548,Negative
Q9H6R3,P12074,Negative
Q9H9P5,Q9NPB3,Positive
Q9H9P5,O15160,Positive
Q9H9P5,P63000,Positive
Q9H9P5,Q92925,Positive
Q9H9P5,O60938,Negative
Q9H9P5,P04553,Negative
Q9H9P5,P01619,Negative
Q8NAP8,P60468,Negative
Q86XT4,P54725,Positive
Q86XT4,Q9UHP6,Positive
Q86XT4,Q3SY00,Positive
Q86XT4,Q9Y2X8,Positive
Q86XT4,Q96LR5,Positive
Q86XT4,O75604,Positive
Q86XT4,Q8N307,Negative
Q86XT4,P59025,Negative
Q86XT4,Q8IUZ0,Negative
P07093,Q8IZU0,Positive
Q9NZM5,Q8NE65,Negative
P16422,B5MCN3,Negative
P16422,Q9GZY6,Negative
Q5T6X4,Q9HA82,Negative
Q5T6X4,Q9BQ08,Negative
Q5T6X5,Q6YFQ2,Negative
Q01968,Q6ICB4,Positive
Q01968,P61106,Positive
Q01968,P62820,Positive
Q01968,Q9H0U4,Positive
Q01968,P20339,Positive
Q01968,P20340,Positive
Q01968,P61006,Positive
Q01968,P63000,Positive
Q01968,P01588,Negative
Q01968,P07305,Negative
Q01968,Q3B7T3,Negative
Q14CS0,O43186,Positive
Q14CS0,Q0VD86,Positive
Q14CS0,P50221,Positive
Q14CS0,Q96IV0,Positive
Q14CS0,Q9HCJ6,Positive
Q14CS0,P55072,Positive
Q14CS0,Q9Y673,Negative
Q14CS0,P16389,Negative
P36897,P62942,Positive
P36897,P02750,Positive
P36897,P01137,Positive
P36897,P63104,Positive
Q02978,Q5TC84,Negative
Q02978,Q8NC24,Negative
Q8NGF0,Q8WXC6,Negative
Q8NGF0,Q9H7C9,Negative
Q8NGF0,Q9BRQ4,Negative
Q8N5G2,P49639,Positive
Q8N5G2,Q5T754,Positive
Q8N5G2,Q5TA76,Positive
Q8N5G2,Q14376,Negative
Q8N5G2,Q96ES6,Negative
Q8N5G2,Q6XXX2,Negative
A6NEN9,O14787,Negative
A6NEN9,Q13523,Negative
A6NEN9,O75444,Negative
A6NEN9,Q4G0Z9,Negative
Q12788,Q9Y5X4,Positive
Q12788,Q16576,Positive
A8MZ59,C9J3V5,Negative
A8MZ59,Q8N6N6,Negative
A8MZ59,P52815,Negative
A8MZ59,Q9BX69,Negative
A1A5B4,Q5JXA9,Negative
A1A5B4,Q9UQ74,Negative
O15062,O43602,Positive
O15062,O15156,Positive
O15062,Q9UQF0,Negative
Q5VUM1,Q96BR9,Negative
Q03989,O95429,Positive
Q03989,P61024,Positive
Q03989,Q15038,Positive
Q03989,P03372,Positive
Q03989,Q8NAX2,Positive
Q03989,P59991,Positive
Q03989,Q3LI72,Positive
Q03989,Q99750,Positive
Q03989,Q7RTU3,Positive
Q03989,Q8ND90,Positive
Q03989,Q8TEA8,Negative
Q06609,O14757,Positive
Q06609,Q96KN1,Positive
Q06609,Q13007,Positive
Q06609,P11245,Positive
Q06609,O43502,Positive
Q06609,P43351,Positive
Q06609,Q6NVH7,Positive
Q06609,P04637,Positive
Q06609,O43542,Positive
Q06609,Q9NW38,Negative
Q06609,Q8N3Z6,Negative
Q06609,Q9UHG2,Negative
Q06609,Q07001,Negative
Q2TBF2,O15235,Negative
Q9BR01,Q13526,Positive
Q9BR01,Q9NUX5,Positive
Q9BR01,Q8WXA2,Negative
P16520,P32302,Positive
P16520,Q6IBS0,Negative
P16520,Q9NUQ8,Negative
P16520,P22681,Negative
P16520,Q9H977,Negative
Q9Y296,Q8NGU4,Negative
Q9Y296,Q9Y2T1,Negative
Q9Y296,Q16653,Negative
Q9Y296,O75444,Negative
Q9Y297,P18848,Positive
Q9Y297,Q02750,Positive
Q9Y297,Q00987,Positive
Q9Y297,Q15843,Positive
Q9Y297,Q16621,Positive
Q9Y297,Q99952,Positive
Q9Y297,Q8WWW0,Positive
Q9Y297,P63208,Positive
Q9Y297,O95863,Positive
Q9Y297,P04637,Positive
Q9Y297,Q5D1E8,Positive
Q9Y297,P32245,Negative
Q9Y297,Q9NS61,Negative
Q9Y297,Q96M60,Negative
Q9Y297,P16930,Negative
Q9Y297,Q02252,Negative
Q9Y294,Q13112,Positive
Q9Y294,P03372,Positive
Q9Y294,P54198,Positive
Q9Y294,P68431,Positive
Q9Y294,P62805,Positive
Q9Y294,P49736,Positive
Q9Y294,P79522,Positive
Q9Y294,O60613,Negative
Q9Y294,O96020,Negative
Q9Y294,Q99963,Negative
Q9Y295,P38432,Positive
Q9Y295,Q8IXK0,Positive
Q9Y295,Q9H446,Positive
Q9Y295,P12757,Positive
Q9Y295,Q9Y2D8,Positive
Q9Y295,O75716,Positive
Q9Y295,Q8WU90,Positive
Q9Y295,P49069,Negative
Q7Z601,P05089,Negative
Q7Z601,Q8IZP0,Negative
Q7Z601,P09132,Negative
Q7Z601,Q8WVD5,Negative
Q7Z601,Q15131,Negative
Q9BR09,O14792,Negative
Q9BR09,Q6ZQT0,Negative
Q6ICC9,Q8N165,Negative
Q6ICC9,P07451,Negative
Q6ICC9,P0C7X0,Negative
Q6ICC9,Q9UHI7,Negative
Q9NUQ3,Q9UHR6,Negative
Q9NUQ3,Q14331,Negative
Q9NUQ3,Q8NHQ8,Negative
Q6ICB0,P78358,Positive
Q6ICB0,Q13232,Positive
Q6ICB0,P62987,Positive
Q6ICB0,P0CG48,Positive
Q5VIY5,Q8N8U9,Negative
Q5VIY5,P52657,Negative
Q5VIY5,Q96HL8,Negative
Q5VIY5,Q7L3T8,Negative
Q5VIY5,A6NML5,Negative
Q6IA17,Q9H6E4,Negative
Q6IA17,Q86XN8,Negative
Q8N6V4,Q9UBP6,Negative
Q8N6V4,Q93086,Negative
Q8N6V4,Q08881,Negative
Q8N6V4,Q9Y243,Negative
Q8N6V4,Q02108,Negative
P30281,O94921,Positive
P30281,P11802,Positive
P30281,Q00535,Positive
P30281,Q00534,Positive
P30281,P38936,Positive
P30281,Q9BT43,Positive
P30281,Q9UBB9,Positive
P30281,Q96K12,Negative
Q5FYB1,Q6A162,Positive
Q5FYB0,Q9Y2U5,Negative
Q5FYB0,Q9H1E1,Negative
Q96I85,Q96EF0,Negative
Q75V66,Q5VT33,Negative
Q9HD45,P42331,Negative
Q9HD45,P56373,Negative
Q9HD45,Q6VB84,Negative
Q9HD45,P16410,Negative
Q96I82,Q9BWW7,Negative
Q96I82,Q8N3E9,Negative
Q96I82,Q8NCG7,Negative
B0I1T2,P13693,Negative
B0I1T2,Q68G75,Negative
Q2NL82,Q9HD15,Negative
Q2NL82,Q8NGH8,Negative
O60721,Q3LI70,Negative
Q5JTN6,Q96LB4,Negative
P51116,Q9BXS5,Positive
P51116,Q15041,Positive
P51116,Q13895,Positive
P51116,Q5T681,Positive
P51116,Q13557,Positive
P51116,Q9C0F1,Positive
P51116,Q53EZ4,Positive
P51116,Q86YD7,Positive
P51116,Q6NT76,Positive
P51116,Q14847,Positive
P51116,Q9UIC8,Positive
P51116,Q13094,Positive
P51116,O95751,Positive
P51116,Q9NS73,Positive
P51116,Q96EZ8,Positive
P51116,Q9HAF1,Positive
P51116,P55081,Positive
P51116,Q9BU76,Positive
P51116,Q9UBU8,Positive
P51116,Q8N983,Positive
P51116,Q9GZT8,Positive
P51116,P49902,Positive
P51116,Q8N7H5,Positive
P51116,P22234,Positive
P51116,P61457,Positive
P51116,P11309,Positive
P51116,Q9UI14,Positive
P51116,Q9NU19,Positive
P51116,P07947,Positive
P51116,Q96NC0,Positive
P51114,Q9BXS5,Positive
P51114,Q8WW27,Negative
Q86VD7,Q15323,Positive
Q86VD7,O14561,Negative
Q86VD7,Q9UBW8,Negative
Q86VD7,P09104,Negative
Q86VD7,P49788,Negative
Q86VD7,Q13637,Negative
P35070,Q96IJ6,Positive
P35070,Q15323,Positive
P35070,O75360,Positive
P35070,P26447,Positive
P35070,O43765,Positive
P35070,A6NDY2,Negative
P35070,Q8IV13,Negative
P35070,Q5T5A4,Negative
Q86VD9,Q53QW1,Negative
Q86VD9,O75901,Negative
Q86VD9,Q9GZX3,Negative
Q86VD9,Q9BT04,Negative
Q587I9,Q4KMQ1,Negative
Q587I9,O60641,Negative
Q587I9,P61236,Negative
Q9H7L2,Q9Y2V2,Negative
Q9H7L2,Q8NE35,Negative
Q9H7L2,A6NNA5,Negative
Q9Y2T5,Q96KF2,Negative
Q9Y2T5,Q96LQ0,Negative
Q9Y2T5,Q9NXJ0,Negative
Q9Y2T4,P67775,Positive
Q9Y2T4,Q92785,Negative
Q9Y2T4,Q6ZMY6,Negative
Q9Y2T4,Q96IC2,Negative
O60814,Q86UT5,Negative
O60814,O14901,Negative
O60814,P69891,Negative
Q9Y2T6,P42658,Negative
Q9Y2T6,Q03721,Negative
Q9Y2T1,P62714,Positive
Q9Y2T1,Q15583,Positive
Q9Y2T1,Q5TA78,Negative
Q9Y2T1,P18077,Negative
Q5T7V8,Q00987,Positive
Q5T7V8,Q96SY0,Negative
Q5T7V8,Q12999,Negative
Q5T7V8,O60609,Negative
Q9Y2T3,P50897,Negative
Q9Y2T3,Q9C056,Negative
Q9Y2T3,Q6UW68,Negative
Q9Y2T2,Q6RW13,Positive
Q9Y2T2,Q14194,Positive
Q9Y2T2,Q9UHP6,Positive
Q9Y2T2,Q9C026,Positive
O60548,Q5H9M0,Negative
O60548,Q13617,Negative
O60548,Q8N5W8,Negative
O60548,P31358,Negative
Q6ZVK8,Q96GX9,Positive
Q6ZVK8,P49366,Positive
Q6ZVK8,P33316,Positive
Q6ZVK8,Q96CN4,Positive
Q6ZVK8,Q9BPX1,Positive
Q6ZVK8,P49902,Positive
Q6ZVK8,P22234,Positive
Q6ZVK8,Q8TBN0,Positive
Q6ZVK8,Q9UI14,Positive
Q6ZVK8,Q9NYB0,Positive
Q6ZVK8,Q7Z6J8,Negative
Q6ZVK8,Q8IV03,Negative
Q6ZVK8,P78334,Negative
Q9BZ67,Q96HH9,Positive
Q9BZ67,Q9H8W4,Positive
Q495N2,P57721,Negative
Q495N2,O15504,Negative
Q495N2,Q6PJT7,Negative
Q8N8Y2,P61599,Negative
Q8N8Y2,Q9HAT0,Negative
Q8N8Y2,O60683,Negative
Q8N8Y2,Q92949,Negative
Q8NGC9,Q8N427,Negative
Q8NGC9,Q8N239,Negative
Q8TB52,O43827,Negative
Q8TB52,Q8NGJ8,Negative
Q8TB52,Q717R9,Negative
Q8TB52,P04234,Negative
P29034,Q02790,Positive
P29034,P52292,Positive
P29034,Q00987,Positive
P29034,P23297,Positive
P29034,P04271,Positive
P29034,P04637,Positive
Q6NXS1,P62136,Positive
Q6NXS1,P62140,Positive
Q6NXS1,Q99643,Negative
Q9P0L2,P28356,Negative
Q9P0L2,Q9BT40,Negative
Q8N9W4,Q14525,Positive
Q8N9W4,Q6A162,Positive
Q8N9W4,Q8NA61,Positive
Q8N9W4,Q969G3,Negative
P58401,P09630,Negative
P58401,O60678,Negative
Q9P0L9,P23510,Negative
P58400,A6NIK2,Negative
Q9BZ68,P35504,Negative
Q9BZ68,E9PQR5,Negative
O15066,Q8WWR8,Negative
O15066,Q9BV40,Negative
O75420,Q9H6L4,Positive
O75420,Q8N3U1,Negative
P35250,P10644,Positive
P35250,P35249,Positive
P35250,O95859,Negative
P35250,P50876,Negative
P35250,Q9BZP3,Negative
P35250,P10909,Negative
P35250,Q9P0L9,Negative
O75425,Q8NEP4,Negative
O75425,Q14197,Negative
O75425,B2RUZ4,Negative
Q99618,Q9GZU7,Positive
Q99618,O14595,Positive
Q99618,Q13077,Positive
Q99618,Q12933,Positive
Q99618,O60478,Negative
Q99618,Q4LDR2,Negative
O75427,Q6A162,Positive
O75427,P60409,Positive
O75427,P60410,Positive
O75427,Q99750,Positive
O75427,Q7Z3S9,Positive
O75427,Q9Y2Z0,Positive
O75427,P43080,Negative
O75427,Q8N3R3,Negative
O75427,Q5PT55,Negative
O75426,Q8WVJ2,Positive
O75426,Q96AQ1,Negative
O75426,P46092,Negative
Q92730,Q14451,Positive
Q92730,Q96N46,Negative
Q92730,P85299,Negative
Q92730,Q6PIW4,Negative
Q92730,Q13003,Negative
Q92731,O95273,Positive
Q92731,Q99750,Positive
Q92731,O15162,Positive
Q92731,P53041,Positive
Q92731,Q12800,Positive
Q5VU57,Q9NRW1,Negative
Q5VU57,Q96E35,Negative
Q9H773,O00560,Positive
Q9H773,Q96HA8,Positive
Q9H773,Q96RD1,Negative
P43026,P36894,Positive
P43026,O00238,Positive
P23109,Q8IWD4,Negative
O60609,Q5T4W7,Positive
O60609,Q9Y312,Negative
O60609,Q64LD2,Negative
O60609,P56470,Negative
Q00765,Q6P1Q0,Positive
Q00765,Q14409,Negative
Q00765,P06858,Negative
Q00765,Q9HD33,Negative
Q00765,Q6P1W5,Negative
Q6IQ19,Q8TBA6,Negative
Q6IQ19,P21291,Negative
Q6IQ19,Q75NE6,Negative
Q6IQ19,Q96MP5,Negative
Q6IQ19,P62699,Negative
P51884,P50281,Positive
P51884,Q8TD94,Negative
Q5T2D3,Q9H0U3,Negative
